year,position,draft_pct_lg,cap_pct_team,cap_pct_lg
2013,DB,0.21317182317931943,4.4075,0.137734375
2013,DL,0.200712143928036,5.7635000000000005,0.18010937500000002
2013,K,0.004463677252282949,0.392,0.01225
2013,LB,0.10762800417972831,2.2355,0.069859375
2013,OL,0.19180182635954748,4.5495,0.142171875
2013,P,0.004861205760755986,0.34500000000000003,0.010781250000000001
2013,QB,0.03971877697514879,2.5075,0.078359375
2013,RB,0.07499091363409205,1.845,0.05765625
2013,TE,0.056721639180409796,1.3525,0.042265625
2013,WR,0.10592998955067921,2.758,0.0861875
2014,DB,0.19318297727659092,4.341,0.13565625
2014,DL,0.15454751515838386,6.0760000000000005,0.18987500000000002
2014,K,0.002805009350031167,0.35400000000000004,0.011062500000000001
2014,LB,0.13805746019153398,2.375,0.07421875
2014,OL,0.18829262764209215,4.7585,0.148703125
2014,P,0.0019153397177990594,0.38,0.011875
2014,QB,0.061001870006233354,2.7765,0.086765625
2014,RB,0.06648722162407208,1.6605,0.051890625
2014,TE,0.04652348841162804,1.308,0.040875
2014,WR,0.1471864906216354,2.8655,0.089546875
2015,DB,0.17189890632968777,4.6795,0.146234375
2015,DL,0.1683288944296481,5.8125,0.181640625
2015,LB,0.1429874766249221,2.296,0.07175
2015,LS,0.002317674392247974,0.179,0.00559375
2015,OL,0.18862696208987362,4.4855,0.140171875
2015,P,0.00233467444891483,0.343,0.01071875
2015,QB,0.0482234940783136,2.7875,0.087109375
2015,RB,0.08256927523091744,1.4495,0.045296875
2015,TE,0.04771349237830793,1.4695,0.045921875
2015,WR,0.14499914999716665,2.876,0.089875
2016,DB,0.2076591583567376,4.8095,0.150296875
2016,DL,0.212724709199859,5.6205,0.175640625
2016,K,0.0053100162597928295,0.35500000000000004,0.011093750000000001
2016,LB,0.11581406983751578,2.1635,0.067609375
2016,LS,0.0016487202519699365,0.17099999999999999,0.0053437499999999995
2016,OL,0.16890286195094772,4.5195,0.141234375
2016,P,0.004849511637690882,0.343,0.01071875
2016,QB,0.0743629686060923,3.2775,0.102421875
2016,RB,0.0685185395749713,1.335,0.04171875
2016,TE,0.031746392713793536,1.3760000000000001,0.043000000000000003
2016,WR,0.10846305161062912,3.0515,0.095359375
2017,DB,0.2377284046073203,4.635,0.14484375
2017,DL,0.17255847271652244,5.8515,0.182859375
2017,K,0.005383924409019069,0.35300000000000004,0.011031250000000001
2017,LB,0.1292880939656839,1.943,0.06071875
2017,LS,0.001608923556232731,0.1555,0.004859375
2017,OL,0.10941248706607389,4.8305,0.150953125
2017,QB,0.056772829090247535,3.0095,0.094046875
2017,RB,0.10020239462403494,1.4095,0.044046875
2017,TE,0.05875697863485963,1.4775,0.046171875
2017,WR,0.12828749133000558,3.039,0.09496875
2018,DB,0.1854082846942823,4.5655,0.142671875
2018,DL,0.17058990196633989,5.672000000000001,0.17725000000000002
2018,K,0.003694678982263274,0.3685,0.011515625
2018,LB,0.1347367824559415,2.037,0.06365625
2018,LS,0.0012750042500141666,0.1515,0.004734375
2018,OL,0.16594888649628833,4.969,0.15528125
2018,P,0.00822236074120247,0.2635,0.008234375
2018,QB,0.07777525925086418,3.1165,0.097390625
2018,RB,0.08853062843542812,1.238,0.0386875
2018,TE,0.054615515385051286,1.347,0.04209375
2018,WR,0.10920269734232448,3.0075000000000003,0.09398437500000001
2019,DB,0.1872245695334151,4.5965,0.143640625
2019,DL,0.20067807005588115,5.277,0.16490625
2019,K,0.004969106355912953,0.3565,0.011140625
2019,LB,0.1260165371859525,2.0735,0.064796875
2019,LS,0.001147153695879333,0.14,0.004375
2019,OL,0.1674276498114579,5.187,0.16209375
2019,P,0.005889100904093408,0.2525,0.007890625
2019,QB,0.06344554995229658,2.9025,0.090703125
2019,RB,0.07479214937985552,1.221,0.03815625
2019,TE,0.06492208441233928,1.234,0.0385625
2019,WR,0.10348802871291626,2.9805,0.093140625
2020,DB,0.1960403902881779,4.39,0.1371875
2020,DL,0.16537326979804856,5.9145,0.184828125
2020,K,0.005576355797594736,0.3775,0.011796875
2020,LB,0.11512933968686181,2.0835,0.065109375
2020,LS,0.0020081688223281143,0.132,0.004125
2020,OL,0.1835886090310869,5.1035,0.159484375
2020,P,0.003329929657363286,0.2595,0.008109375
2020,QB,0.07044474699341956,2.822,0.0881875
2020,RB,0.07295212162468799,1.335,0.04171875
2020,TE,0.03890968913092807,1.3765,0.043015625
2020,WR,0.14664737916950307,2.9979999999999998,0.09368749999999999
2021,DB,0.20497627654767284,4.4915,0.140359375
2021,DL,0.16825576140985088,5.854166666666667,0.18294270833333334
2021,K,0.0026208766380478987,0.362,0.0113125
2021,LB,0.10121441482150927,2.0671666666666666,0.06459895833333333
2021,LS,0.002920244012652508,0.14683333333333334,0.004588541666666667
2021,OL,0.18748870311793944,5.0505,0.157828125
2021,P,0.001095797559873475,0.25,0.0078125
2021,QB,0.08436511522819702,2.6999999999999997,0.08437499999999999
2021,RB,0.05940465431540895,1.4163333333333334,0.04426041666666667
2021,TE,0.04720967013104383,1.348,0.042125
2021,WR,0.1404484862178039,2.9655,0.092671875
2022,DB,0.21276392095039695,4.4065,0.137703125
2022,DL,0.1876189403749789,5.793833333333334,0.18105729166666668
2022,K,0.0031360846799166715,0.4435,0.013859375
2022,LB,0.10305162997578965,1.7473333333333334,0.05460416666666667
2022,OL,0.19171217836833512,4.8485000000000005,0.15151562500000001
2022,P,0.009092956477675806,0.2145,0.006703125
2022,QB,0.030110917178086817,2.6950000000000003,0.08421875000000001
2022,RB,0.068599741005574,1.326,0.0414375
2022,TE,0.053696300883959235,1.256,0.03925
2022,WR,0.14021733010528686,2.9745,0.092953125
2023,DB,0.1897311342069589,4.135,0.12921875
2023,DL,0.19800045187528242,5.680833333333333,0.17752604166666666
2023,K,0.008913239945774965,0.35050000000000003,0.010953125000000001
2023,LB,0.101762313601446,1.8093333333333335,0.05654166666666667
2023,OL,0.16997288748305467,5.183,0.16196875
2023,P,0.00491414369633981,0.2335,0.007296875
2023,QB,0.07954134658834161,2.508,0.078375
2023,RB,0.06593990058743787,1.3105,0.040953125
2023,TE,0.06239267962042476,1.294,0.0404375
2023,WR,0.118831902394939,3.168,0.099
2024,DB,0.19211479678478433,3.942,0.1231875
2024,DL,0.16307030453979396,5.530666666666667,0.17283333333333334
2024,K,0.005009623004641684,0.391,0.01221875
2024,LB,0.07350843428053888,1.7381666666666666,0.05431770833333333
2024,OL,0.2208139929808672,4.923,0.15384375
2024,P,0.0031982338956187024,0.248,0.00775
2024,QB,0.08651081172874449,2.6175,0.081796875
2024,RB,0.05716064757160647,1.078,0.0336875
2024,TE,0.04406770066794973,1.2650000000000001,0.039531250000000004
2024,WR,0.15454545454545454,2.795,0.08734375
